RIVER,MILE,SPECIES,LENGTH,WEIGHT,DDT
FCM,5,CCATFISH,42.5,732,10
FCM,5,CCATFISH,44,795,16
FCM,5,CCATFISH,41.5,547,23
FCM,5,CCATFISH,39,465,21
FCM,5,CCATFISH,50.5,1252,50
FCM,5,CCATFISH,52,1255,150
LCM,3,CCATFISH,40.5,741,28
LCM,3,CCATFISH,48,1151,7.7
LCM,3,CCATFISH,48,1186,2
LCM,3,CCATFISH,43.5,754,19
LCM,3,CCATFISH,40.5,679,16
LCM,3,CCATFISH,47.5,985,5.4
SCM,1,CCATFISH,44.5,1133,2.6
SCM,1,CCATFISH,46,1139,3.1
SCM,1,CCATFISH,48,1186,3.5
SCM,1,CCATFISH,45,984,9.1
SCM,1,CCATFISH,43,965,7.8
SCM,1,CCATFISH,45,1084,4.1
TRM,275,CCATFISH,48,986,8.4
TRM,275,CCATFISH,45,1023,15
TRM,275,CCATFISH,49,1266,25
TRM,275,CCATFISH,50,1086,5.6
TRM,275,CCATFISH,46,1044,4.6
TRM,275,CCATFISH,52,1770,8.2
TRM,280,CCATFISH,48,1048,6.1
TRM,280,CCATFISH,51,1641,13
TRM,280,CCATFISH,48.5,1331,6
TRM,280,CCATFISH,51,1728,6.6
TRM,280,CCATFISH,44,917,5.5
TRM,280,CCATFISH,51,1398,11
TRM,280,SMBUFFALO,49,1763,4.5
TRM,280,SMBUFFALO,46,1459,4.2
TRM,280,SMBUFFALO,52,2302,3
TRM,280,SMBUFFALO,46,1614,2.3
TRM,280,SMBUFFALO,46,1444,2.5
TRM,280,SMBUFFALO,48,2006,6.8
TRM,285,CCATFISH,44,936,19
TRM,285,CCATFISH,42,1058,7.2
TRM,285,CCATFISH,42.5,800,6
TRM,285,CCATFISH,45.5,1087,10
TRM,285,CCATFISH,48,1329,12
TRM,285,CCATFISH,44,897,2.8
TRM,285,LMBASS,28.5,778,0.48
TRM,285,LMBASS,26,532,0.18
TRM,285,LMBASS,25.5,441,0.34
TRM,285,LMBASS,25,544,0.11
TRM,285,LMBASS,23,393,0.22
TRM,285,LMBASS,28,733,0.8
TRM,290,CCATFISH,41,961,8.7
TRM,290,CCATFISH,44,886,22
TRM,290,CCATFISH,41,678,13
TRM,290,CCATFISH,42,1011,3.5
TRM,290,CCATFISH,42.5,947,9.3
TRM,290,CCATFISH,44,989,21
TRM,290,SMBUFFALO,43.5,1291,3.4
TRM,290,SMBUFFALO,46.5,1186,13
TRM,290,SMBUFFALO,43,1293,5.6
